id;active;type;name;externalId;epgProvider;epgProviderId;mdbMatchTags;enableImageGenerator;order;lcn;testing;public;availability;fsAvailability;parentLock;malfunction;timeshiftDuration;timeshiftAvailable;timeshiftBeforeEvent;timeshiftAfterEvent;drm;directAccess;audio;message;channelGroup;description;hd;hack;dvbMrl;tags;epgLang;useStreamServer;freeSeekSeconds;freeSeekStartOver;freeSeekPvr;epgAllowedTypes;parallelStreamGroup
DWespanol;0;tv;DW HD;DWespanol_stream_on;14;16;,movie,dummyShow,dummySeries,;1;118;206;0;1;NetUno;\N;0;\N;720;720;1;2;1;0;\N;\N;Internacionales;;1;;\N;DRM,720;es;1;0;0;0;;1
EIENTERTAINMENT;1;tv;E! ENTERTAINMENT FHD;EIENTERTAINMENT_stream_ix;14;491;,movie,dummyShow,dummySeries,;1;27;45;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Documentales;;1;;\N;1440,DRM;es;1;0;0;0;;1
ELGOURMET;1;tv;EL GOURMET FHD;ELGOURMET_stream_44;14;351;,movie,dummyShow,dummySeries,;1;31;49;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Variedades;;1;;\N;1440,DRM;es;1;0;0;0;;1
ELTRECEINTERNACIONAL;1;tv;EL TRECE INTERNACIONAL;ELTRECEINTERNACIONAL_stream_zm;14;1154;,movie,dummyShow,dummySeries,;1;165;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Internacionales;;0;;\N;DRM,Inter;es;1;0;0;0;;1
ENLACETBN;1;tv;ENLACE TBN;ENLACETBN_stream_zq;14;413;,movie,dummyShow,dummySeries,;1;67;100;0;1;NetUno;\N;0;\N;720;720;1;2;1;0;\N;\N;Internacionales;;0;;\N;DRM,720;es;1;0;0;0;;1
ESPN;1;tv;ESPN HD;ESPN_stream_z8;14;2603;,movie,dummyShow,dummySeries,;1;97;164;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Deportes;;1;;\N;1440,DRM;es;1;0;0;0;;1
ESPN2;1;tv;ESPN 2 HD;ESPN2_stream_0n;14;2899;,movie,dummyShow,dummySeries,;1;98;165;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Deportes;;1;;\N;1440,DRM;es;1;0;0;0;;1
ESPN2_INTER_BOLIVIA;1;tv;ESPN 2 BO HD;ESPN2_INTER_BOLIVIA_stream_h9;11;\N;;1;214;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Deportes;;1;;\N;1440,DRM,Inter;es;1;0;0;0;;1
ESPN2_INTER_CHILE;1;tv;ESPN 2 CL HD;ESPN2_INTER_CHILE_stream_d2;\N;\N;;1;211;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Deportes;;1;;\N;1440,DRM,Inter;es;1;0;0;0;;1
ESPN3HD;1;tv;ESPN 3 HD;ESPN3HD_stream_pz;14;2020;,movie,dummyShow,dummySeries,;1;99;166;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Deportes;;1;;\N;1440,DRM;es;1;0;0;0;;1
